cde_id	source	amp_variable	amp_variable_description	amp_value_set	amp_extended_definition_comments	omop_concept_name	domain	omop_concept_class	omop_value_set	omop_value_as_strings	concept_comment	omop_vocab	datatype	units	omop_concept_id
75	AMP-CMD	compartment	Anatomical or cellular compartment where measurement or sample was obtained	plasma | serum | whole blood | intracellular | extracellular | tissue | cell lysate | subcellular fraction		Structure of anatomical compartment	Spec Anatomic Site	Body Structure			""	SNOMED			44783492
77	AMP-CMD	development_stage	Developmental or life stage of the subject at time of assessment	Enumerated values: embryonic, fetal, neonatal, infant, child, adolescent, adult, elderly		Periods of life	Meas Value	Qualifier Value			""	SNOMED			4086396
78	AMP-CMD	development_stage_ontology_term_id	Ontology term identifier for developmental stage	Ontology term ID (e.g., HsapDv:0000087, UBERON:0000113)		Tanner boys genital development stage	Observation	Qualifier Value			""	SNOMED/Observation/S			4090183
79	AMP-CMD	diabetes_history	History of diabetes mellitus diagnosis and treatment	Free text or structured data describing diabetes history including type, duration, treatment, and complications		History of Diabetes (regardless of treatment) [PhenX]	Observation	Clinical Observation	No | Yes		""	LOINC			40769338
80	AMP-CMD	diagnosis	The diagnosis is an opportunity for the site investigator to give their opinion on a participant's most likely clinical diagnosis, regardless of cohort. The diagnosis may change over time because the site investigator may update the diagnosis at every longitudinal visit based on their opinion.ś	At-Risk RA | CLE | LN | OA | PsA | PsO | RA | SLE | SjD | control | dermatomyositis | scleroderma | vitiligo		Diagnosis	Observation	Observable Entity			""	SNOMED			4234469
81	AMP-CMD	diagnosis_type	How was diagnosis made?	Clinical | Pathological | Unknown		Diagnosis type	Observation	Clinical Observation	Admitting diagnosis | Autopsy diagnosis | Clinical diagnosis | Cytology diagnosis | Death diagnosis | Diagnosis of exclusion | Differential diagnosis | Established diagnosis | Final diagnosis (discharge) | Laboratory diagnosis | Morphologic diagnosis | Palpatory diagnosis | Pathology diagnosis | Post-op diagnosis | Pre-op diagnosis | Preliminary diagnosis | Principal diagnosis | Prior diagnosis | Referral diagnosis | Revised diagnosis | Secondary diagnosis | Segmental diagnosis | Suggested billing diagnosis | Transfer admissions diagnosis | Transfer diagnosis | Working diagnosis | X-ray diagnosis		""	LOINC			1988354
82	AMP-CMD	disease	Disease or condition diagnosis	Controlled vocabulary of metabolic disease classifications		Diagnosis	Observation	Observable Entity			""	SNOMED			4234469
83	AMP-CMD	disease__ontology_id	Disease Ontology Identifier	Ontology identifier (e.g., MONDO, DOID, SNOMED CT)		Diagnosis ICD code [Identifier]	Observation	Clinical Observation			""	LOINC			3042537
84	AMP-CMD	disease__ontology_label	Standardized disease term from ontology	Ontology-based disease label		Disease	Condition	Disorder			""	SNOMED			4274025
85	AMP-CMD	disease_category	Classification of metabolic disease type	Categorical values representing major metabolic disease classifications		Metabolic disease	Condition	Disorder			""	SNOMED			436670
86	AMP-CMD	disease_ontology_term_id	Disease Ontology standardized identifier	Ontology term identifier (e.g., DOID:####)		Diagnosis ICD code [Identifier]	Observation	Clinical Observation			""	LOINC			3042537
87	AMP-CMD	disease_status	Classification of the participant's current disease state or condition status	Controlled vocabulary: Active | Remission | Progression | Stable | Resolved | Unknown		Condition clinical status	Observation	Clinical Observation	Active | Inactive | Resolved		""	LOINC			1989567
88	AMP-CMD	diseasetype	Classification or category of metabolic disease	Enumerated list of metabolic disease types (e.g., Type 2 Diabetes, NAFLD, Obesity, Metabolic Syndrome)		Metabolic disease	Condition	Disorder			""	SNOMED			436670
89	AMP-CMD	donor_id	Donor Identifier	String		Specimen source [Identifier] from Donor	Measurement	Lab Test			""	LOINC			1616447
90	AMP-CMD	eGFR	Estimated Glomerular Filtration Rate	Range: 0-200 mL/min/1.73m²		Estimation of glomerular filtration rate	Measurement	Procedure			""	SNOMED			44806420
91	AMP-CMD	ethnicity	Ethnicity	Not Hispanic or Latino | Hispanic or Latino | Unknown		Ethnicity OMB.1997	Observation	Clinical Observation	Hispanic or Latino | Not Hispanic or Latino		""	LOINC			40771985
92	AMP-CMD	ethnicity__ontology_id	Standardized ontology identifier for participant ethnicity	Ontology identifiers (e.g., HANCESTRO, NCIT, MONDO codes)		Ethnicity	Observation	Qualifier Value			""	SNOMED			44803968
93	AMP-CMD	ethnicity__ontology_label	Ontology-based standardized label for participant ethnicity	Standard ontology terms (e.g., HANCESTRO, OMRSE)		Ethnicity	Observation	Qualifier Value			""	SNOMED			44803968
94	AMP-CMD	Fat.distribution	Body fat distribution	Abdominal/Central | Peripheral | Generalized | Normal		Distribution of body fat	Observation	Observable Entity			""	SNOMED			4093857
